Open,Close,High,Low,Volume,Date
1729.698,1729.698,1729.698,1729.698,,09/23/16
1740.548,1740.548,1740.548,1740.548,,09/22/16
1721.687,1721.687,1721.687,1721.687,,09/21/16
1703.227,1703.227,1703.227,1703.227,,09/20/16
1703.076,1703.076,1703.076,1703.076,,09/19/16
1696.313,1696.313,1696.313,1696.313,,09/16/16
1704.839,1704.839,1704.839,1704.839,,09/15/16
1692.526,1692.526,1692.526,1692.526,,09/14/16
1694.83,1694.83,1694.83,1694.83,,09/13/16
1715.758,1715.758,1715.758,1715.758,,09/12/16
1707.936,1707.936,1707.936,1707.936,,09/09/16
1744.435,1744.435,1744.435,1744.435,,09/08/16
1747.474,1747.474,1747.474,1747.474,,09/07/16
1745.893,1745.893,1745.893,1745.893,,09/06/16
1737.39,1737.39,1737.39,1737.39,,09/05/16
1734.6,1734.6,1734.6,1734.6,,09/02/16
1723.548,1723.548,1723.548,1723.548,,09/01/16
1719.524,1719.524,1719.524,1719.524,,08/31/16
1723.645,1723.645,1723.645,1723.645,,08/30/16
1725.57,1725.57,1725.57,1725.57,,08/29/16
1726.081,1726.081,1726.081,1726.081,,08/26/16
1727.296,1727.296,1727.296,1727.296,,08/25/16
1731.166,1731.166,1731.166,1731.166,,08/24/16
1738.552,1738.552,1738.552,1738.552,,08/23/16
1732.607,1732.607,1732.607,1732.607,,08/22/16
1731.853,1731.853,1731.853,1731.853,,08/19/16
1736.829,1736.829,1736.829,1736.829,,08/18/16
1731.644,1731.644,1731.644,1731.644,,08/17/16
1730.94,1730.94,1730.94,1730.94,,08/16/16
1739.428,1739.428,1739.428,1739.428,,08/15/16
1736.103,1736.103,1736.103,1736.103,,08/12/16
1735.803,1735.803,1735.803,1735.803,,08/11/16
1727.486,1727.486,1727.486,1727.486,,08/10/16
1728.518,1728.518,1728.518,1728.518,,08/09/16
1719.909,1719.909,1719.909,1719.909,,08/08/16
1716.647,1716.647,1716.647,1716.647,,08/05/16
1707.693,1707.693,1707.693,1707.693,,08/04/16
1703.435,1703.435,1703.435,1703.435,,08/03/16
1706.52,1706.52,1706.52,1706.52,,08/02/16
1717.666,1717.666,1717.666,1717.666,,08/01/16
1721.788,1721.788,1721.788,1721.788,,07/29/16
1707.587,1707.587,1707.587,1707.587,,07/28/16
1706.352,1706.352,1706.352,1706.352,,07/27/16
1705.995,1705.995,1705.995,1705.995,,07/26/16
1703.938,1703.938,1703.938,1703.938,,07/25/16
1706.965,1706.965,1706.965,1706.965,,07/22/16
1705.404,1705.404,1705.404,1705.404,,07/21/16
1707.318,1707.318,1707.318,1707.318,,07/20/16
1698.723,1698.723,1698.723,1698.723,,07/19/16
1703.932,1703.932,1703.932,1703.932,,07/18/16
1700.57,1700.57,1700.57,1700.57,,07/15/16
1703.225,1703.225,1703.225,1703.225,,07/14/16
1694.379,1694.379,1694.379,1694.379,,07/13/16
1690.687,1690.687,1690.687,1690.687,,07/12/16
1676.149,1676.149,1676.149,1676.149,,07/11/16
1662.316,1662.316,1662.316,1662.316,,07/08/16
1643.935,1643.935,1643.935,1643.935,,07/07/16
1640.745,1640.745,1640.745,1640.745,,07/06/16
1645.543,1645.543,1645.543,1645.543,,07/05/16
1660.881,1660.881,1660.881,1660.881,,07/04/16
1660.264,1660.264,1660.264,1660.264,,07/01/16
1653.229,1653.229,1653.229,1653.229,,06/30/16
1634.405,1634.405,1634.405,1634.405,,06/29/16
1599.122,1599.122,1599.122,1599.122,,06/28/16
1571.762,1571.762,1571.762,1571.762,,06/27/16
1608.793,1608.793,1608.793,1608.793,,06/24/16
